Dish Category,Dish Name,Diet Type,Allergens,Cuisine Type,Staple Ingredients,Meal Type,Flavor Profile
Pastas,Fettuccine Funghi-e-Tartufo,"Vegetarian Diet, Jain Diet, Gluten-free Diet",Mushrooms,European,"(Fettuccine Pasta, Wild Mushrooms, Parmesan Cream Sauce, Truffle Oil, Truffle Shavings)","Lunch, Dinner",Creamy
Pastas,Zoodles,"Vegetarian Diet, Vegan Diet, Keto Diet, Gluten-free Diet",,European,"(Zucchini, Sliced Garlic, Fresh Red Chilly, Basil, Heirloom Tomato, Asparagus, Parsley, Vegan Parmesan)","Lunch, Dinner","Herbaceous, Garlicky"
Pastas,Purple Potato Gnocchi,"Vegetarian Diet, Jain Diet, Keto Diet, Gluten-free Diet",,European,"(Gnocchi, Burnt Butter Sage Sauce, Pumpkin Purée, Toasted Hazelnut)","Lunch, Dinner","Creamy, Buttery"
Pastas,Sundried Tomato & Bacon Risotto,"Vegetarian Diet, Keto Diet, Gluten-free Diet",,European,"(Arborio Rice Cooked In White Wine, Sun-Dried Tomato, Garlic, Onion, Parsley, Lemon Zest, Cream, Crispy Bacon)","Lunch, Dinner","Creamy, Citrusy, Garlicky"
Pastas,Chicken Cannelloni,"Keto Diet, Gluten-free Diet",,European,"(Minced Chicken, Tomato Sauce, Green Olives, Ricotta, Mozzarella, Cheddar, Parmesan)","Lunch, Dinner","Savory, Umami"
Pastas,Linguine Ai Frutti de Mare,"Vegetarian Diet, Jain Diet, Vegan Diet, Gluten-free Diet",,European,"(Linguine Pasta, Tiger Prawns, Crispy Soft Shell Crab, Bisque Sauce, Capers, Lemon, Dill)","Lunch, Dinner",Citrusy
Pastas,Lamb Ragu Pappardelle,"Vegetarian Diet, Jain Diet, Vegan Diet, Gluten-free Diet",,European,"(Slow Red wine braised Lamb, Pappardelle Pasta, Pecorino, Basil)","Lunch, Dinner",Herbaceous
Large Plates,Vegan Baked Eggplant,"Keto Diet, Gluten-free Diet",,European,"(Eggplant Stuffed With Mock Meat Filling, Potato Gratin, Vegan Parmesan, Lima Bean Truffle Purée, Herb & Chilli Oil, Millet Flakes, Pomegranate, Microgreens, Handcrafted Melba Toast)","Lunch, Dinner",Herbaceous
Large Plates,Grilled Vegan Cottage Cheese,"Vegetarian Diet, Keto Diet, Gluten-free Diet",,European,"(Vegan Cottage Cheese, Wild Rice Pilaf, Ratatouille, Charred Onion, Sweet Potato Mash Quenelle, Herb Oil)","Lunch, Dinner","Herbaceous, Creamy, Cheesy"
Large Plates,Roasted Cauliflower Steak,"Vegetarian Diet, Jain Diet, Vegan Diet, Keto Diet, Gluten-free Diet",,Fusion European-Japanese,"(BBQ Marinated Cauliflower, Herb Yoghurt Sauce, Smoked Bell Pepper Tahina Drizzle, Feta Crumble, Pomegranate, House Salad)","Lunch, Dinner, Snacks","Smoky, Herbaceous, Spicy, Peppery"
Large Plates,Mezzelune Di Zucca,"Vegetarian Diet, Jain Diet, Keto Diet, Gluten-free Diet",,European,"(Pumpkin & Ricotta Ravioli, Sweet Apple Sage Butter Sauce, Pine Nuts, Lavender Cheese, Herb & Chilli Oil, Microgreens)","Lunch, Dinner","Herbaceous, Creamy, Buttery, Cheesy"
Large Plates,Hakusai,"Vegetarian Diet, Jain Diet, Vegan Diet, Keto Diet, Gluten-free Diet","Sesame, Mushrooms",Fusion European-Japanese,"(Grilled Napa Cabbage, Charred Shimeji Mushrooms, Madras Sriracha Sauce, Sweet Habanero Drizzle, Togarashi, Sesame Seeds, Benisoga)","Lunch, Dinner",Smoky
Large Plates,Sous Vide Chicken,"Keto Diet, Gluten-free Diet",Soy,Japanese,"(Slow Cooked Chicken, Soy Honey Glaze, Creamy Cauliflower Purée, Grilled Vegetables, Yam Chips, Miso Mushroom Jus)","Lunch, Dinner","Smoky, Creamy"
Large Plates,Crispy Skin Salmon,"Vegetarian Diet, Jain Diet, Keto Diet, Gluten-free Diet",,European,"(Atlantic Salmon, Creamy Dashi Pearl Couscous Risotto, Butter Poached Asparagus & Baby Carrots, Fennel & Orange Peel Confit, Lemon Swirl)","Lunch, Dinner","Creamy, Citrusy, Buttery"
Large Plates,Truffle Lobster,"Vegetarian Diet, Jain Diet, Keto Diet, Gluten-free Diet",,European,"(Truffle Butter Poached Lobster, Creamy Bisque Sauce, Truffle Cream Foam & Shavings, Brioches Col Tuppo)","Lunch, Dinner","Creamy, Buttery"
Large Plates,Grilled Lamb Chops,"Vegetarian Diet, Jain Diet, Vegan Diet, Keto Diet, Gluten-free Diet",,European,"(Spicy Shoyu Kozi Marinated NZ Lamb Chops, Potato Foam, Dehydrated Mint Dust, Red Wine Reduction Sauce)","Lunch, Dinner",Spicy
Large Plates,Hokkaido Butaniku,"Keto Diet, Gluten-free Diet",Soy,Fusion European-Japanese,"(Braised Pork Belly, Daikon, Bok Choy, Soy Cured Egg, Cashew Koji Soy, Yakiniku Sauce, Japanese Sticky Rice)","Lunch, Dinner","Savory, Umami"
Ramen,Kinoko Ramen,"Vegetarian Diet, Vegan Diet, Keto Diet, Gluten-free Diet",,Japanese,"(Grilled Portobello, Spicy Miso Mushroom Broth, Atari Goma, Carrot, Spring Onion, Bean Sprout, Negi, Edamame, Seaweed)","Lunch, Dinner","Smoky, Spicy"
Ramen,Niwatori Ramen,"Keto Diet, Gluten-free Diet",Soy,Japanese,"(Teriyaki Chicken, Cashew Miso Chicken Broth, American Corn, Carrot, Negi, Soy Egg, Bean Sprout, Seaweed","Lunch, Dinner","Savory, Umami"
Noodles,Black Fungus Udon,"Vegetarian Diet, Vegan Diet, Keto Diet, Gluten-free Diet",,Fusion European-Japanese,"(Black Pepper Stir Fried Udon Noodles, Black Fungus, Shiitake, Green Onions, Bok-Choy, Red Bell Pepper, Leek Crisps)","Lunch, Dinner","Spicy, Peppery"
Noodles,Toriniku Udon,"Keto Diet, Gluten-free Diet",,Fusion European-Japanese,"(Arimiyaki Stir fried Udon Noodles, Chicken, Broccoli, Leafy Greens, Red Bell pepper, Scallions, Leek Crisps)","Lunch, Dinner","Earthy, Spicy, Peppery"
Rice,Edamame Yaki Meshi,"Vegetarian Diet, Vegan Diet, Keto Diet, Gluten-free Diet",Soy,Fusion European-Japanese,"(Burnt Garlic Rice With Edamame, Bell Peppers, Carrot, Garlic Soy Seasoning, Negi, Garlic Chips, Toban Gravy)","Lunch, Dinner","Garlicky, Spicy, Peppery"
Rice,Shrimp Yaki Meshi,"Keto Diet, Gluten-free Diet",Soy,Japanese,"(Burnt Garlic Rice With Shrimp, Egg, Bell Peppers, Carrot, Garlic Soy Seasoning, Negi, Garlic Chips, Hosogiri Nori, Toban Gravy)","Lunch, Dinner","Garlicky, Spicy, Peppery"
Rice,Tofu Katsu Karē,"Vegetarian Diet, Jain Diet, Vegan Diet, Keto Diet, Gluten-free Diet",,Fusion European-Japanese,"(Sticky Rice, Crispy Tofu Katsu, Japanese Curry, Herb Oil)","Lunch, Dinner",Herbaceous
Rice,Chicken Katsu Karē,"Keto Diet, Gluten-free Diet",,Fusion European-Japanese,"(Sticky Rice, Crispy Chicken Katsu, Japanese Curry, Habanero Chilli Oil)","Lunch, Dinner","Savory, Umami"
Desserts,Chocolate Mousse Dome,"Vegetarian Diet, Jain Diet, Vegan Diet, Keto Diet, Gluten-free Diet",,Fusion European-Japanese,"(Cocoa Mirror Glaze, Dark Chocolate, Hazelnut Mousse, Raspberry Compote, Chocolate Sponge, Sable Disc, Roasted Hazelnut)","Lunch, Dinner",Fruity
Desserts,Sugar-free Blueberry Cheesecake,"Vegetarian Diet, Jain Diet, Keto Diet, Gluten-free Diet",,European,"(Burnt Basque, Blueberry Cheesecake, Mixed Berry Toppings, Raspberry Compote, Mixed Berry Sorbet)","Lunch, Dinner","Fruity, Creamy, Cheesy"
Desserts,Vegan Lychee Panna Cotta,"Vegetarian Diet, Jain Diet, Keto Diet, Gluten-free Diet",,European,"(Rose Gelato, Pistachio Paste, Turmeric Chocolate Soil, Pistachio Sponge, Almond Tuile, Basil Seeds, Pistachio Cream, Candied Lemon Peel, Fresh Raspberry)","Lunch, Dinner","Fruity, Herbaceous, Creamy, Citrusy"
Desserts,Chou à La Crème,"Vegetarian Diet, Jain Diet, Vegan Diet, Keto Diet, Gluten-free Diet",,European,"(Classic French Profiteroles, Crème Chantilly, Chocolate Soil, Caramel Tuile, Dark Chocolate Sauce)","Lunch, Dinner","Savory, Umami"
Desserts,Gigi Signature Tiramisu,"Vegetarian Diet, Jain Diet, Keto Diet, Gluten-free Diet",,Fusion European-Japanese,"(Table Crafted Dessert, Coffee & Kahlúa Soaked Ladyfingers, Whipped Mascarpone Cream, Cocoa Powder)","Lunch, Dinner",Creamy
Scoops (2 Scoops),Mixed Berry Sorbet,"Vegetarian Diet, Jain Diet, Vegan Diet, Keto Diet, Gluten-free Diet",,Fusion European-Japanese,-,"Lunch, Dinner","Savory, Umami"
Scoops (2 Scoops),Vegan Rose Gelato,"Vegetarian Diet, Jain Diet, Vegan Diet, Keto Diet, Gluten-free Diet",,Fusion European-Japanese,-,"Lunch, Dinner","Savory, Umami"
Scoops (2 Scoops),Black Sesame Gelato,"Vegetarian Diet, Jain Diet, Vegan Diet, Keto Diet, Gluten-free Diet",,Fusion European-Japanese,-,"Lunch, Dinner","Savory, Umami"
Scoops (2 Scoops),Pistachio Gelato,"Vegetarian Diet, Jain Diet, Vegan Diet, Keto Diet, Gluten-free Diet",,Fusion European-Japanese,-,"Lunch, Dinner","Savory, Umami"
Scoops (2 Scoops),Strawberry Cheesecake Gelato,"Vegetarian Diet, Jain Diet, Vegan Diet, Keto Diet, Gluten-free Diet",,Fusion European-Japanese,-,"Lunch, Dinner","Savory, Umami"
Scoops (2 Scoops),Dark Chocolate Gelato,"Vegetarian Diet, Jain Diet, Vegan Diet, Keto Diet, Gluten-free Diet",,Fusion European-Japanese,(No Added Sugar),"Lunch, Dinner","Savory, Umami"
